"","X","pain_fp","pain_eta","phys_fp","phys_eta","neg_fp","neg_eta"
"1",2,0.199715678888783,0.0469965730052262,1.42888327361001e-28,0.747357632183559,1.97280599486316e-29,0.632404520605155
"2",5,0.510269711190325,0.0236722665403695,1.16218854692118e-23,0.679948986950081,5.73105398471143e-32,0.632404520605155
"3",6,0.339915207410223,0.0341813423990531,2.92607001140081e-21,0.640663575757977,8.11757561309181e-24,0.632404520605155
"4",7,0.381806539049715,0.031257349361025,7.55838566145203e-27,0.725500461034949,4.71772316688903e-28,0.632404520605155
"5",13,0.787952230210076,0.0108731624632572,1.58538726070641e-23,0.677861776073431,1.39491384571734e-20,0.632404520605155
"6",15,0.0782114917881804,0.0681395847463728,2.00229842332652e-25,0.706025840737974,1.00918946642836e-26,0.632404520605155
"7",17,0.300155717596401,0.0372545254839746,3.65417479758125e-21,0.638986669071621,2.37490287994106e-21,0.632404520605155
"8",18,0.121907162786382,0.0583080142927345,1.33690077575319e-26,0.722206919502951,3.95419257789697e-24,0.632404520605155
"9",19,0.411781006741651,0.0293243562094534,1.01264287206674e-24,0.695884972236433,1.20211213632936e-30,0.632404520605155
"10",21,0.0897682279190354,0.0651163651322445,2.01459583216086e-23,0.676241989127833,4.38355822724191e-24,0.632404520605155
"11",24,0.951566210345444,0.00355773667010599,1.26494581017913e-25,0.708836895587995,6.47475269091065e-19,0.632404520605155
"12",25,0.466576089767747,0.0260652941450454,1.5168564820029e-23,0.678159627887252,5.49208589741441e-21,0.632404520605155
"13",28,0.058823039823849,0.0743136828142319,1.1569335700927e-25,0.709380064793987,3.52018125651968e-22,0.632404520605155
"14",32,0.224276777636757,0.0442668555815456,8.68018753838757e-26,0.711121610150634,7.68762244938973e-18,0.632404520605155
"15",33,0.306048490481426,0.0367777206889294,3.78896246053704e-25,0.702076705289109,4.03418564364511e-24,0.632404520605155
"16",34,0.180835724042614,0.049309858998042,1.96046645172062e-22,0.660444203349665,4.95747158942816e-18,0.632404520605155
"17",36,0.313017649073628,0.036223956368079,1.61764346677818e-27,0.734209011207697,8.05257952750733e-22,0.632404520605155
"18",40,0.107358018271437,0.0611522161592326,9.7689120836095e-29,0.749358038695265,1.0748160457338e-21,0.632404520605155
"19",41,0.501876380735193,0.0241197424169223,3.86557421355586e-22,0.655581585498708,7.34638366572837e-23,0.632404520605155
"20",43,0.055505943630137,0.0755599690906897,4.80126677298945e-25,0.700597005568093,4.71178752849414e-19,0.632404520605155
"21",45,0.0561031946379902,0.0753304503396398,1.94171063542373e-26,0.72003001358345,3.44624786831459e-21,0.632404520605155
"22",46,0.474278818750638,0.0256314903630987,7.25933594291289e-22,0.651005321339825,8.96610103007896e-19,0.632404520605155
"23",47,0.338648206591943,0.0342744083995409,4.17555666314095e-27,0.728885910965967,1.00404346641926e-23,0.632404520605155
"24",48,0.0740907596059798,0.069320220990271,7.72933145834544e-24,0.682669827336355,2.86523065246077e-22,0.632404520605155
"25",53,0.189129700294144,0.0482678409846829,4.28922883816284e-24,0.686557383068656,7.11608657145345e-26,0.632404520605155
"26",55,0.2886809236589,0.0382067831536882,2.46447829518726e-27,0.731858786788885,2.59749349090136e-18,0.632404520605155
"27",58,0.458288589026275,0.0265382256848596,1.30875021955568e-23,0.679152292982988,2.25284970433954e-17,0.632404520605155
"28",59,0.439231791067361,0.027651502251405,1.86902549623623e-27,0.733405000873006,1.10822770047123e-20,0.632404520605155
"29",60,0.912776088460255,0.00545309203617292,1.03167246684828e-23,0.680746067470794,2.52392654457301e-24,0.632404520605155
"30",61,0.0759518865609291,0.0687795196282888,2.07862054488793e-23,0.676029871182379,2.84201057435785e-21,0.632404520605155
"31",62,0.840241477862039,0.00865154937571534,3.08880909193093e-24,0.68870384961946,7.37036987709934e-26,0.632404520605155
"32",63,0.298946601209347,0.037353360777355,2.78921087208893e-24,0.68936785273285,3.65079659632083e-20,0.632404520605155
"33",64,0.198516128853803,0.0471375157467696,5.08722380913331e-28,0.74056077181935,2.35127371148471e-22,0.632404520605155
"34",65,0.415340897064982,0.0291024642304035,1.86188510027694e-20,0.626455304496189,6.61402132404571e-28,0.632404520605155
"35",70,0.0644897609136962,0.0723310050331375,1.98151005852407e-21,0.64358624830451,7.75836440089325e-22,0.632404520605155
"36",71,0.146913764408598,0.0540851316358066,7.69750234678144e-25,0.697625249088849,3.64775959900856e-13,0.632404520605155
"37",72,0.96572678848212,0.00278503192441116,7.00424354833536e-22,0.65126672735079,3.09238965174755e-18,0.632404520605155
"38",74,0.306834704407493,0.0367147071527737,5.81141772275305e-25,0.699398396287982,4.50043445569775e-22,0.632404520605155
"39",79,0.287127497792108,0.0383382192854739,2.34268032415278e-21,0.642333782499243,7.02989629605984e-24,0.632404520605155
"40",82,0.150495275160068,0.0535356354033405,1.99276239897304e-25,0.706055200641611,9.77326652263483e-25,0.632404520605155
"41",85,0.4058774767674,0.0296957722229461,1.09951731589739e-23,0.680320153523872,1.41314333567194e-26,0.632404520605155
"42",86,0.0905495159821897,0.064925420443938,7.07813943782454e-28,0.738763031105968,9.26456452387914e-22,0.632404520605155
"43",87,0.65119318138975,0.0168137551241888,1.25836614267373e-25,0.708868660263079,2.66916328918025e-19,0.632404520605155
"44",88,0.053099900184651,0.0765089572247173,7.19568211819418e-23,0.667496620461807,6.67222527489755e-17,0.632404520605155
"45",90,0.120330701241754,0.0586004559118601,7.46802297162921e-24,0.682898185614311,1.19098697599828e-23,0.632404520605155
"46",91,0.229447923051397,0.0437266072347894,2.4307640435541e-24,0.69026080838652,2.94473989323161e-20,0.632404520605155
"47",93,0.60553763737415,0.018921810486987,1.97822150226232e-21,0.643598650803165,6.07985961561601e-27,0.632404520605155
"48",97,0.32150024536828,0.03556408287697,1.24597558195319e-24,0.69456250722171,1.42071900191716e-18,0.632404520605155
"49",98,0.590531359022366,0.0196353389405365,7.70350639035597e-26,0.711842060602238,2.5393314436108e-16,0.632404520605155
"50",100,0.669941999677127,0.015971660315156,3.24896067604128e-23,0.672986412556048,2.18209980457618e-26,0.632404520605155
"51",103,0.343435536695138,0.0339242965098743,6.19553894383644e-22,0.652161764608399,9.54472147672438e-24,0.632404520605155
"52",104,0.601473532313524,0.0191139544611664,1.83880599723823e-25,0.706549256082314,7.82650041417017e-26,0.632404520605155
"53",107,0.226704400714598,0.0440118585027296,2.11106543221471e-28,0.745287802438901,4.4957650392612e-27,0.632404520605155
"54",108,0.109592552741765,0.0606928710321498,4.96670101379955e-26,0.71447568588995,2.89981093711468e-21,0.632404520605155
"55",109,0.266728672042049,0.0401245593630509,4.47785907246655e-26,0.715093836182048,4.27100150239742e-14,0.632404520605155
"56",110,0.0570044726218963,0.0749884440841045,9.74065872594648e-27,0.724040427208877,2.71215439716805e-25,0.632404520605155
"57",111,0.180232487402928,0.0493873342335705,4.97107215513977e-23,0.670061537964339,2.47133149512325e-22,0.632404520605155
"58",112,0.296444459831247,0.037558996708255,6.68199243797005e-27,0.72620704182175,2.1030462557841e-21,0.632404520605155
"59",113,0.60575626030349,0.018911496902799,2.09814173353289e-25,0.705738130182608,4.60878430439551e-26,0.632404520605155
"60",114,0.249373151739437,0.0417417790979244,4.02356722765193e-24,0.686976556092753,2.22345369108375e-29,0.632404520605155
"61",119,0.618721481019989,0.0183038524656652,1.80048382253344e-21,0.644300893292324,2.51613977934136e-22,0.632404520605155
"62",120,0.270549815638212,0.0397810176038474,3.00590301712368e-27,0.730742904469328,6.27312797511358e-25,0.632404520605155
"63",122,0.0515416061752018,0.0771455950889476,3.01445091864788e-28,0.743383809611456,2.54317763294162e-23,0.632404520605155
"64",131,0.377668182793493,0.0315339316257309,6.21903958866171e-24,0.684110597074428,4.4580116263687e-19,0.632404520605155
"65",132,0.0714627134617111,0.0701059545538894,1.09116393315078e-23,0.680371183128436,1.98312042532429e-22,0.632404520605155
"66",134,0.554512034000571,0.0213971868148194,4.93743674837248e-24,0.685632714894685,8.71264715881842e-20,0.632404520605155
"67",135,0.107384648976836,0.0611466894562573,1.25304460621969e-21,0.646991740252019,4.55532858389969e-20,0.632404520605155
"68",136,0.0997876242397968,0.0627777180158176,4.48776120626897e-27,0.72847678948328,9.66286133817932e-16,0.632404520605155
"69",140,0.166358829266504,0.0512378499539263,1.03767173194316e-25,0.710040750231333,1.3934400839763e-22,0.632404520605155
"70",142,0.164611356376341,0.0514808641112328,2.35487617469802e-24,0.69046634245797,2.56767356875428e-30,0.632404520605155
"71",143,0.0767891065056965,0.0685403477176195,1.30718781238946e-25,0.708636736928552,8.0643300348771e-22,0.632404520605155
"72",144,0.161634536742122,0.0519003364882983,8.58064853218152e-26,0.711191301155108,2.20762032250101e-27,0.632404520605155
